a_diario,2,adverb,general
a_donde,1,adverb,general
a_escondidas,1,adverb,general
a_fin_de_cuentas,1,adverb,general
a_la_inversa,1,adverb,general
a_la_vez,3,adverb,general
a_lo_bestia,1,adverb,general
a_rajatabla,1,adverb,general
a_toda_pastilla,1,adverb,general
a_tope,1,adverb,general
a_trancas_y_barrancas,1,adverb,general
abajo,15,adverb,general
absolutamente,15,adverb,general
actualmente,2,adverb,general
acá,2,adverb,general
adelante,9,adverb,general
además,172,adverb,general
adentro,2,adverb,general
afortunadamente,1,adverb,general
ahora,282,adverb,general
ahora_bien,1,adverb,general
ahí,200,adverb,general
al_fin_y_al_cabo,5,adverb,general
al_libre_albedrío,1,adverb,general
algunas_veces,2,adverb,general
allá,5,adverb,general
allí,89,adverb,general
alrededor,3,adverb,general
anteayer,1,adverb,general
antes,67,adverb,general
antiguamente,6,adverb,general
aparentemente,2,adverb,general
aparte,8,adverb,general
apenas,1,adverb,general
aquí,229,adverb,general
arriba,8,adverb,general
así,187,adverb,general
así_pues,1,adverb,general
atrás,4,adverb,general
aun,4,adverb,general
automáticamente,1,adverb,general
avy,1,adverb,general
ayer,13,adverb,general
bastante,63,adverb,general
bien,238,adverb,general
boca_arriba,3,adverb,general
boni,1,adverb,general
básicamente,6,adverb,general
caro,2,adverb,general
casi,35,adverb,general
cerca,6,adverb,general
cic,1,adverb,general
cien_por_cien,7,adverb,general
circunstancialmente,1,adverb,general
claramente,6,adverb,general
claro,342,adverb,general
como_el_perro_y_el_gato,1,adverb,general
como_mucho,1,adverb,general
completamente,17,adverb,general
con_conocimiento_de_causa,1,adverb,general
con_la_boca_abierta,1,adverb,general
con_la_lengua_fuera,1,adverb,general
concretamente,1,adverb,general
conjuntamente,1,adverb,general
continuamente,1,adverb,general
cooperativamente,1,adverb,general
cordialmente,1,adverb,general
cuanto,4,adverb,general
cuanto_antes,1,adverb,general
culturalmente,1,adverb,general
curiosamente,1,adverb,general
de_acá_para_allá,1,adverb,general
de_andar_por_casa,1,adverb,general
de_aquí_en_adelante,1,adverb,general
de_cualquier_forma,1,adverb,general
de_doble_filo,1,adverb,general
de_ninguna_manera,1,adverb,general
de_prisa,1,adverb,general
de_puta_madre,2,adverb,general
de_repente,24,adverb,general
de_todas_maneras,11,adverb,general
de_todos_modos,2,adverb,general
de_vez_en_cuando,7,adverb,general
de_órdago,1,adverb,general
debajo,10,adverb,general
debidamente,1,adverb,general
decididamente,1,adverb,general
decorosamente,1,adverb,general
delante,4,adverb,general
demasiado,13,adverb,general
dentro,12,adverb,general
desafortunadamente,1,adverb,general
desde_luego,11,adverb,general
desgraciadamente,3,adverb,general
despacio,2,adverb,general
después,77,adverb,general
detenidamente,1,adverb,general
detrás,4,adverb,general
dialécticamente,1,adverb,general
difícilmente,1,adverb,general
digitalmente,1,adverb,general
directamente,24,adverb,general
disimuladamente,1,adverb,general
dínoslo,1,adverb,general
económicamente,4,adverb,general
efectivamente,25,adverb,general
egun,2,adverb,general
en_cierto_modo,2,adverb,general
en_consecuencia,1,adverb,general
en_paralelo,1,adverb,general
en_plantilla,2,adverb,general
en_remojo,1,adverb,general
en_seguida,1,adverb,general
en_todo_caso,1,adverb,general
encima,27,adverb,general
enormemente,2,adverb,general
enseguida,3,adverb,general
entonces,531,adverb,general
erróneamente,1,adverb,general
esencialmente,2,adverb,general
especialmente,5,adverb,general
específicamente,1,adverb,general
estructuralmente,1,adverb,general
evidentemente,17,adverb,general
exactamente,32,adverb,general
excesivamente,1,adverb,general
exclusivamente,2,adverb,general
extremadamente,1,adverb,general
francamente,2,adverb,general
fty,1,adverb,general
fuera,24,adverb,general
fuertemente,1,adverb,general
fundamentalmente,11,adverb,general
fácilmente,2,adverb,general
físicamente,2,adverb,general
generalmente,7,adverb,general
genuinamente,1,adverb,general
gratuitamente,1,adverb,general
habitualmente,1,adverb,general
hasta_cierto_punto,1,adverb,general
históricamente,1,adverb,general
hoy,54,adverb,general
humildemente,1,adverb,general
ideológicamente,1,adverb,general
igual,39,adverb,general
inclusive,1,adverb,general
incluso,45,adverb,general
independientemente,1,adverb,general
individualmente,1,adverb,general
indudablemente,2,adverb,general
informáticamente,1,adverb,general
inicialmente,2,adverb,general
injustamente,1,adverb,general
inmediatamente,3,adverb,general
internacionalmente,1,adverb,general
iversi,1,adverb,general
jamás,10,adverb,general
justamente,4,adverb,general
justo,15,adverb,general
laboralmente,1,adverb,general
lamentablemente,1,adverb,general
largo,1,adverb,general
lejos,3,adverb,general
lentamente,2,adverb,general
lento,1,adverb,general
ligeramente,2,adverb,general
luego,329,adverb,general
lógicamente,8,adverb,general
mal,43,adverb,general
malamente,1,adverb,general
manualmente,1,adverb,general
mayoritariamente,1,adverb,general
mañana,16,adverb,general
medianamente,1,adverb,general
menos,106,adverb,general
modestamente,1,adverb,general
mucho,255,adverb,general
musicalmente,1,adverb,general
muy,718,adverb,general
más,704,adverb,general
naturalmente,3,adverb,general
necesariamente,1,adverb,general
ni_mucho_menos,2,adverb,general
normalmente,16,adverb,general
nuevamente,1,adverb,general
nunca,63,adverb,general
objetivamente,1,adverb,general
obviamente,3,adverb,general
oficialmente,1,adverb,general
online,2,adverb,general
otegi,1,adverb,general
pasablemente,1,adverb,general
pedagógicamente,1,adverb,general
perfectamente,14,adverb,general
permanentemente,1,adverb,general
personalmente,7,adverb,general
poco,100,adverb,general
poco_a_poco,9,adverb,general
políticamente,3,adverb,general
por_decirlo_así,2,adverb,general
por_ejemplo,90,adverb,general
por_entonces,3,adverb,general
por_favor,9,adverb,general
por_lo_general,1,adverb,general
por_lo_menos,37,adverb,general
por_lo_tanto,4,adverb,general
por_otro_lado,4,adverb,general
por_separado,1,adverb,general
por_si_acaso,2,adverb,general
por_supuesto,11,adverb,general
posiblemente,2,adverb,general
posteriormente,6,adverb,general
precisamente,5,adverb,general
prego,2,adverb,general
prematuramente,1,adverb,general
previamente,5,adverb,general
primero,26,adverb,general
principalmente,1,adverb,general
probablemente,22,adverb,general
profesionalmente,6,adverb,general
profundamente,1,adverb,general
pronto,12,adverb,general
prácticamente,17,adverb,general
psicológicamente,1,adverb,general
